material_id,formula,category,crystal_system,MQI,bulk_modulus_GPa,shear_modulus_GPa,density_g_cm3,melting_point_K,band_gap_eV,formation_energy_per_atom_eV
mp-497661,Si4AsPt3,Halide,monoclinic,27.981713887961558,52.89,11.31,3.269,1292.0,6.15,-3.2898
mp-403083,WTa4BaH3,Phosphide,orthorhombic,21.278654058362484,47.45,15.38,5.777,1567.0,2.256,-1.5773
mp-567830,W4Fe3,Oxide,orthorhombic,29.111586169178622,33.41,14.31,1.952,2929.0,2.957,-3.1636
mp-932884,V3O,Silicate,tetragonal,19.706022045397713,16.21,6.83,1.66,200.0,3.835,-3.8876
mp-356993,LiIr3Mo3,Semiconductor,cubic,19.770764589213744,74.74,48.68,4.94,2157.0,1.746,0.6178
mp-842151,Sr3HfPt3,Halide,cubic,38.301962456159416,53.27,13.02,3.105,1841.0,7.298,-5.941
mp-208140,Se4Os,Metal,cubic,15.782921122215027,106.08,59.96,0.5,589.0,0.0,-1.4771
mp-596805,W3B2Ge3,Perovskite,monoclinic,25.999648361660096,102.77,18.01,7.637,1140.0,4.085,-1.9961
mp-966921,V4,Metal,orthorhombic,29.147754510301702,124.6,122.39,8.002,2875.0,0.0,0.0
mp-564486,Ge2Ti3Pt2Zn,Intermetallic,monoclinic,24.20515605080469,160.57,94.03,4.391,1316.0,0.0,-1.3666
mp-496575,ReCd2Sn4,Semiconductor,hexagonal,15.447768408628106,31.42,20.97,4.099,1119.0,1.297,-0.9346
mp-783153,Sc,Oxide,hexagonal,47.257792750556725,268.21,118.09,3.717,2482.0,5.427,-4.0565
mp-175768,He2Ti3Ag3,Nitride,cubic,37.188091118643925,316.81,112.15,8.536,766.0,4.36,-1.7608
mp-781199,Sb3Os3,Intermetallic,monoclinic,25.53813849538294,101.07,46.28,10.238,1642.0,0.0,-1.9517
mp-645823,Co3,Oxide,cubic,38.260929620169016,133.92,79.46,4.737,2198.0,5.499,-3.4022
mp-473959,W3Cu,Halide,orthorhombic,31.18830462074658,101.52,58.4,4.433,1260.0,5.038,-3.2928
mp-789178,Pb4Si3Nb2,Boride,monoclinic,31.9578078212735,319.86,116.4,2.962,1083.0,1.37,-1.6892
mp-75452,K3Mo2,Metal,tetragonal,23.699993967795482,185.56,53.74,9.341,1427.0,0.0,-0.3719
mp-796644,CSi2,Metal,monoclinic,12.472255445098101,48.42,24.97,6.837,576.0,0.0,-0.377
mp-46003,Re3Pd2,Oxide,orthorhombic,47.97445745434574,283.79,176.58,4.854,1892.0,8.345,-2.2257
mp-217584,Ni3Ca4Pd4V4,Metal,orthorhombic,32.13295867848274,157.99,73.4,7.689,3254.0,0.0,-1.1193
mp-825627,Cu4Nb4,Silicate,cubic,26.568174321097235,78.31,37.1,4.088,1389.0,6.012,-1.5803
mp-290375,Ar2Al4,Oxide,orthorhombic,37.819055701445656,170.14,79.73,2.092,1980.0,2.839,-4.9327
mp-44817,Pt3Be3,Ceramic,orthorhombic,38.69035252492445,187.95,117.07,6.749,2200.0,2.116,-3.3041
mp-185195,Au3As,Carbide,hexagonal,28.032015882270404,189.53,79.4,6.889,1741.0,4.085,0.5009
mp-175122,C2Be,Metal,trigonal,37.39578494913953,297.25,226.16,10.989,1668.0,0.0,-0.0652
mp-773953,B4V3,Carbide,cubic,33.3378177189573,340.09,133.29,5.643,1840.0,1.622,0.3173
mp-648457,F2Mn4,Semiconductor,cubic,19.593803967405012,66.69,28.33,4.134,1535.0,1.447,-1.1681
mp-274536,K3CuH3,Chalcogenide,hexagonal,20.296403488433167,56.31,30.62,2.989,2181.0,2.328,-0.2996
mp-491007,CdCo3Sr3F3,Semiconductor,tetragonal,20.765674544441573,109.2,51.96,0.5,1152.0,0.499,-2.4122
mp-200754,ClSe4,Chalcogenide,tetragonal,15.365015259381774,80.66,51.23,3.214,799.0,0.559,-0.6608
mp-675888,Cr2Ce2,Oxide,cubic,33.308513598377886,135.46,92.15,5.362,2571.0,0.837,-2.7372
mp-82807,Be4Li3,Oxide,tetragonal,41.68938772692976,186.42,87.95,4.822,2635.0,4.84,-3.4336
mp-601207,Ag4Zn4N3,Ceramic,cubic,43.85671491449021,251.3,115.23,5.116,2360.0,5.192,-3.023
mp-543598,Si2Zn2Rh,Ceramic,orthorhombic,35.364581845833605,139.15,45.32,0.5,2800.0,1.507,-4.7446
mp-589622,FZr2Au4,Semiconductor,cubic,20.198191338056176,50.68,12.61,5.106,1800.0,2.805,-0.6381
mp-641518,Se,Metal,orthorhombic,14.504647175995217,72.04,32.5,5.725,1144.0,0.0,0.0
mp-365899,As3Cd4,Metal,hexagonal,19.93532031178701,212.64,71.52,2.972,760.0,0.0,-0.549
mp-506996,C3La2Ni2,Metal,monoclinic,22.069098491183667,108.78,57.95,6.296,1403.0,0.0,-1.4408
mp-33784,Li4AsNb4,Sulfide,tetragonal,22.25936551913466,113.68,71.39,3.249,1516.0,3.758,0.2433
mp-450135,RhSr2,Intermetallic,orthorhombic,27.282723073266496,225.11,91.18,8.163,904.0,0.0,-1.589
mp-505741,Ag,Alloy,cubic,20.56195187104679,129.72,54.37,3.334,2152.0,0.0,0.0
mp-606955,Mo3Al4Sn2Ir,Halide,hexagonal,22.43614948354406,117.36,57.33,3.343,212.0,4.189,-1.9492
mp-71948,Ba2S2Sr4,Boride,trigonal,40.73748166314043,419.74,218.99,2.14,1453.0,1.282,-1.322
mp-893408,Ar4Ga2Fe,Perovskite,cubic,23.023942413569518,85.24,46.25,3.316,1251.0,1.479,-2.5349
mp-610415,Ba3V3,Semiconductor,hexagonal,13.094699833380389,80.25,34.71,1.998,1058.0,1.626,0.6161
mp-687019,MgK3Cu2,Metal,tetragonal,27.733047833744145,153.74,53.96,10.664,1692.0,0.0,-1.735
mp-435841,NTi4,Semiconductor,tetragonal,12.028658533021765,87.11,33.26,1.212,978.0,1.609,0.8096
mp-97463,MgHf2,Oxide,tetragonal,38.84617344337782,121.77,61.43,5.634,2674.0,4.564,-3.6708
mp-95559,Mn2Ne2,Semiconductor,cubic,24.578366860672325,80.61,26.69,4.049,1307.0,2.254,-2.9778
mp-650808,Ne4Ru4,Sulfide,tetragonal,17.680157924059557,84.14,17.79,3.955,793.0,1.953,-1.3538
mp-278721,Ga4Os3ReIn2,Metal,cubic,29.954723286154696,215.53,110.56,11.194,1506.0,0.0,-0.7926
mp-32770,Cr2O3,Halide,monoclinic,28.442260462166495,19.37,9.86,5.443,1254.0,3.914,-4.7164
mp-192320,La4K,Ceramic,hexagonal,35.43218796109291,121.71,68.23,4.946,2149.0,6.86,-2.0272
mp-463121,GaSc3,Semiconductor,cubic,18.966018487267007,54.66,12.37,3.497,1747.0,1.834,-1.0024
mp-830820,Be2,Intermetallic,cubic,33.388792273499256,359.46,181.93,3.039,1728.0,0.0,0.0
mp-395784,MnB3,Phosphide,cubic,13.432972177288843,16.77,8.57,7.369,2122.0,0.219,1.2013
mp-555914,Cl2Nb4,Oxide,tetragonal,47.4719636911715,264.82,195.84,5.865,1468.0,4.792,-4.1792
mp-502717,Ti4,Semiconductor,orthorhombic,21.29380976837534,27.24,10.02,4.589,2033.0,2.021,-1.5905
mp-187647,Ar3Re,Oxide,hexagonal,44.02337093362685,268.37,229.89,6.219,2151.0,5.558,-0.5
mp-80692,Cu4Br4Sb2V2,Metal,monoclinic,13.583715438068214,41.19,16.66,1.999,1024.0,0.0,-1.3768
mp-961859,Ru4Ne3Mn3,Semiconductor,cubic,19.564889406847293,138.13,66.29,5.784,1213.0,1.222,0.3481
mp-459823,V2Cr3,Oxide,tetragonal,36.4497353135969,125.46,59.14,4.779,2454.0,7.433,-1.8087
mp-345166,BiBr4In2,Phosphide,hexagonal,16.479073840087374,90.43,42.58,2.155,545.0,0.747,-1.6786
mp-885376,Be4Ar4,Metal,orthorhombic,29.525383621109576,297.89,62.16,8.959,1358.0,0.0,-1.0836
mp-298846,Ca4,Metal,hexagonal,21.89135504415232,218.34,116.36,0.5,1299.0,0.0,0.0
mp-146693,CrGe3,Carbide,monoclinic,36.98073456285448,330.4,215.93,6.458,1798.0,0.586,-0.0635
mp-779958,Au2Sn2,Ceramic,tetragonal,34.47475142662461,155.33,63.57,4.871,1450.0,6.384,-2.6411
mp-103536,C4Ce3Mg,Ceramic,orthorhombic,27.006349633776445,86.33,30.01,3.828,1698.0,6.593,-1.037
mp-963314,P2Re,Intermetallic,hexagonal,20.008918026713133,140.01,37.24,3.939,2079.0,0.0,0.0412
mp-185542,Be4SiLi3,Nitride,hexagonal,32.30426975754118,194.82,109.65,4.5,1990.0,3.852,-0.7444
mp-406492,Sr2Re2,Metal,monoclinic,27.39003258395885,123.79,91.09,6.543,2138.0,0.0,-1.44
mp-421778,LaCa,Metal,monoclinic,26.245850617290536,157.46,55.13,7.619,1811.0,0.0,-1.5085
mp-805685,Ir2LaSb3He4,Silicate,hexagonal,30.216691682420105,88.2,38.69,6.498,1310.0,5.539,-2.7221
mp-549309,Hf3Ar4,Metal,cubic,25.104539051864364,229.39,146.64,4.578,631.0,0.0,-0.7596
mp-375602,Ge2,Oxide,orthorhombic,42.77320593650012,247.75,95.09,3.221,2438.0,3.297,-4.2583
mp-507554,HGe4,Metal,hexagonal,19.60340479170523,179.17,67.12,4.499,1469.0,0.0,0.4876
mp-310259,Fe3,Nitride,hexagonal,31.2080227468927,194.95,88.19,12.61,1744.0,0.966,-0.8673
mp-920737,OsP,Chalcogenide,triclinic,19.016031628689312,72.56,64.7,1.531,1844.0,0.103,-0.8463
mp-832652,Ru3RhCa3,Carbide,hexagonal,35.502355952912765,324.22,181.39,3.322,1840.0,1.979,-0.14
mp-970585,Ba4K4,Intermetallic,tetragonal,9.878227874349747,119.95,49.44,3.182,361.0,0.0,1.0713
mp-732289,Ca4Bi2,Alloy,cubic,20.217360400044814,139.94,48.2,6.533,340.0,0.0,-2.1254
mp-957214,Rh2Mg2,Ceramic,hexagonal,43.37250054497933,117.68,94.49,5.43,2332.0,8.597,-3.4736
mp-197009,Re3Ga3,Metal,tetragonal,29.857351533563943,138.92,94.34,6.921,2064.0,0.0,-2.1826
mp-481364,Ir2O3,Chalcogenide,monoclinic,24.906244386995528,134.29,54.88,6.242,938.0,1.415,-2.3272
mp-142729,TaSn2,Perovskite,orthorhombic,20.161745137307257,52.11,45.09,6.338,1108.0,1.414,-1.5288
mp-350003,Mn3NaCe3,Nitride,orthorhombic,30.74464987801978,214.82,71.95,5.221,1921.0,1.758,-1.581
mp-257482,Sr3Co3NiHf,Metal,cubic,18.160667006013995,110.4,84.7,11.798,700.0,0.0,0.6827
mp-150454,Pd4Pt4N4,Chalcogenide,tetragonal,18.971709836731545,54.85,29.23,3.593,1745.0,3.099,-0.0192
mp-626442,ScLa2B,Metal,hexagonal,28.156755751770667,210.6,98.78,12.15,878.0,0.0,-1.2046
mp-827402,BaTa4,Perovskite,monoclinic,30.39674063929695,18.09,10.49,6.045,1540.0,1.901,-5.9165
mp-811625,Ti3Cd4Sr2B3,Chalcogenide,hexagonal,12.45867864804897,2.0,1.01,3.512,1111.0,0.779,-0.96
mp-670089,Br3,Intermetallic,orthorhombic,24.657196143518657,201.29,89.02,9.203,1339.0,0.0,0.0
mp-505112,CaNa4,Nitride,cubic,24.190327846789373,220.39,121.07,5.436,1091.0,0.4,0.1018
mp-572291,Ga3LiMo2,Metal,cubic,24.53611572501435,65.26,32.51,8.481,1794.0,0.0,-2.4686
mp-485376,Se4Pt4,Ceramic,monoclinic,45.85812451059988,66.21,66.1,4.709,3749.0,5.237,-5.2967
mp-977818,P,Ceramic,orthorhombic,26.265607811944285,97.56,9.82,4.186,2324.0,5.345,-0.5
mp-647123,Mg3He,Oxide,trigonal,38.50840403954251,164.06,61.27,2.22,1414.0,4.123,-5.9193
mp-142109,Sr4Si4,Perovskite,trigonal,31.96482176712328,104.17,95.03,5.548,1362.0,3.353,-3.2816
mp-782066,Ta3Zn3,Alloy,hexagonal,20.9484809710251,117.3,84.89,8.525,779.0,0.0,-0.887
mp-232085,Pt2He4Ne4,Alloy,cubic,20.308888978323132,135.48,32.59,10.888,1434.0,0.0,0.1699
mp-100589,Br3Li4,Intermetallic,trigonal,22.05917825221734,162.82,135.82,8.924,832.0,0.0,0.5128
mp-626947,Se3Na4Cu,Intermetallic,monoclinic,26.67332381730713,246.19,114.6,8.475,935.0,0.0,-0.4572
mp-201588,Ba3Zn3Ir,Intermetallic,cubic,28.502574311345143,174.11,64.57,14.392,1180.0,0.0,-1.5879
mp-899994,Co4K4,Semiconductor,tetragonal,13.058296821538061,60.94,33.85,2.895,651.0,0.355,-0.7817
mp-916850,AsPb4,Nitride,cubic,27.29416759483884,319.82,141.69,1.264,1703.0,0.093,0.694
mp-893894,Si4Br4Pb4Sn2,Oxide,hexagonal,41.6373392545289,207.14,89.02,6.21,3234.0,2.797,-2.8378
mp-981490,Pb,Nitride,cubic,32.17589132489587,270.91,144.94,5.579,1238.0,0.389,-1.6156
mp-770009,Mg4Re3,Semiconductor,monoclinic,21.639346174273307,97.55,24.92,3.996,1984.0,0.486,-1.3768
mp-815123,N2H4Ir3,Ceramic,trigonal,35.95400593356902,188.63,101.58,2.814,2482.0,5.607,-1.1269
mp-20952,Sr,Metal,monoclinic,22.761095386789975,122.49,55.94,5.966,2397.0,0.0,0.0
mp-837888,Os2,Metal,hexagonal,21.569707600129988,158.37,62.34,6.293,1665.0,0.0,0.0
mp-804372,PbCl2Sc3,Metal,cubic,27.7483004580343,171.22,90.14,11.939,1965.0,0.0,-0.0551
mp-61597,He,Intermetallic,hexagonal,7.285606139047045,6.18,1.43,1.821,846.0,0.0,0.0
mp-455988,Be4VBa3Y,Halide,triclinic,28.18888613061828,67.9,43.18,4.202,1330.0,5.338,-2.6704
mp-448478,V4,Ceramic,hexagonal,54.302495155889076,265.15,253.89,3.91,2565.0,4.361,-4.5915
mp-900853,Ti3Ga2,Chalcogenide,cubic,14.17295545863694,60.76,39.75,4.604,246.0,0.047,-1.5705
mp-56732,Bi4,Halide,hexagonal,40.938296062150556,98.37,49.58,7.235,1200.0,12.0,-3.4409
mp-163042,TeSc4,Halide,cubic,23.484703522273264,48.28,7.61,4.254,806.0,5.253,-2.6679
mp-113829,Be4PbCo4H4,Silicate,cubic,30.41922044329364,103.94,63.71,6.116,932.0,7.119,-1.9867
mp-341927,Sr3,Carbide,trigonal,28.976003405560157,182.87,96.71,9.577,1457.0,0.072,-1.5376
mp-85780,H4Fe2Ag3,Intermetallic,orthorhombic,27.47843749149295,218.57,118.68,3.11,1167.0,0.0,-1.8524
mp-559120,SrY3,Semiconductor,hexagonal,16.028916827146546,59.71,22.65,2.605,1321.0,1.011,-0.8464
mp-745148,He4,Intermetallic,tetragonal,16.9873941974128,24.41,6.77,9.251,2035.0,0.0,0.0
mp-582788,Sb4Pd2,Intermetallic,monoclinic,13.620826841716614,29.77,26.71,4.335,1602.0,0.0,0.0767
mp-305416,Mn2As4Ir4,Alloy,tetragonal,24.761098994908284,221.43,117.97,5.663,842.0,0.0,-0.7321
mp-981820,As3PY2F4,Ceramic,tetragonal,49.756173399044705,176.44,89.2,2.941,3044.0,4.857,-6.5
mp-218812,As3Na2,Intermetallic,triclinic,21.718848270749778,131.17,85.88,7.775,1610.0,0.0,0.2291
mp-582177,He4Ir2,Chalcogenide,cubic,24.25009499410107,81.48,40.45,5.957,1811.0,2.089,-1.4184
mp-309816,Zn3V2,Semiconductor,hexagonal,10.885900257952112,34.98,18.73,2.347,680.0,1.313,-0.1807
mp-141880,Cd4B3,Chalcogenide,triclinic,18.940922264433244,145.53,61.87,2.494,662.0,0.691,-1.2403
mp-653975,In3,Metal,trigonal,15.268553333433818,69.14,54.75,4.488,1247.0,0.0,0.0
mp-292249,Na2He3K3,Halide,hexagonal,32.12052071299112,72.6,28.59,3.846,1280.0,9.132,-2.7223
mp-359501,CPd2,Intermetallic,tetragonal,12.767339324744688,67.47,22.09,0.604,1435.0,0.0,-0.1792
mp-605686,SeOs2,Nitride,cubic,28.06300563950749,173.06,91.06,3.815,1917.0,0.625,-1.6111
mp-179301,Zn2TiGa3,Chalcogenide,hexagonal,27.363849274902417,154.6,107.71,9.209,1398.0,0.417,-1.0908
mp-574350,Mn4PdGa4,Halide,cubic,28.07727225420811,88.51,71.56,3.043,1639.0,2.393,-2.9738
mp-586057,InAr,Ceramic,hexagonal,43.30473685283202,273.97,136.34,3.76,2245.0,8.108,-1.0683
mp-470337,Cl2In4Sn4,Perovskite,trigonal,26.471678512120064,39.25,20.7,3.921,1708.0,2.56,-3.6773
mp-306933,PdSrGa2,Carbide,monoclinic,21.20347222553833,79.58,31.83,6.201,2153.0,0.159,-0.7522
mp-119575,Nb2Sn4Pt4Ca4,Carbide,hexagonal,34.53203125067492,338.01,103.95,12.663,1749.0,0.733,0.1128
mp-489789,FeSr4,Ceramic,hexagonal,38.87746344057407,163.18,102.09,4.951,2584.0,4.077,-2.8075
mp-259292,Hf2Pt3,Perovskite,tetragonal,29.393278584677297,163.98,94.92,4.637,1010.0,3.028,-2.3091
mp-365864,Cu4Pt4,Intermetallic,tetragonal,21.688869264333206,110.95,58.45,7.298,1907.0,0.0,-0.2118
mp-42104,Os4As3La,Metal,cubic,19.821663175461246,153.37,77.66,3.384,1962.0,0.0,0.8026
mp-680048,Pt3Ga4,Perovskite,orthorhombic,24.3096325290292,59.16,43.02,4.345,955.0,1.661,-3.6717
mp-400075,F3Se3,Oxide,triclinic,31.489462005676074,165.4,125.38,5.281,2072.0,3.332,-0.5
mp-26568,In4Se3,Metal,monoclinic,14.598186407167422,106.81,32.32,0.686,1342.0,0.0,-0.268
mp-605951,Pt4Co4S4Mn4,Metal,tetragonal,12.074114080224216,17.15,8.84,1.717,2080.0,0.0,0.3884
mp-261746,Ga2Ta2,Phosphide,tetragonal,14.97541652735783,105.96,39.79,3.97,200.0,0.554,-1.1838
mp-632823,Ba4Bi3,Metal,monoclinic,26.52760436189682,207.0,90.94,4.613,2236.0,0.0,-0.125
mp-456332,Fe2Os4B,Sulfide,hexagonal,10.555755215739413,29.35,7.52,3.163,806.0,0.265,-0.4989
mp-183844,In2Ne,Silicate,hexagonal,30.503466557818868,105.01,60.96,0.5,886.0,7.912,-2.9194
mp-911605,Sr2P4,Intermetallic,hexagonal,20.824647354433925,168.76,78.92,8.444,1422.0,0.0,0.833
mp-566465,He3,Intermetallic,cubic,21.803634733281648,72.66,36.2,5.092,2960.0,0.0,0.0
mp-809734,WBrSb4,Ceramic,orthorhombic,38.83684400951382,128.61,76.27,2.17,2270.0,5.976,-3.9572
mp-432526,Mn2,Ceramic,trigonal,46.076579177880134,267.39,111.22,5.577,2834.0,0.5,-5.2282
mp-969374,Cl4Pd4Se3,Metal,hexagonal,29.67389759859686,203.86,95.42,7.48,1930.0,0.0,-1.2383
mp-693579,CuMo3,Sulfide,hexagonal,20.912065815985166,119.6,63.15,4.329,1321.0,2.225,-0.1522
mp-876042,Au4ClRu2,Chalcogenide,orthorhombic,15.6035519904336,118.47,45.92,0.5,1084.0,1.526,0.0713
mp-601306,Mn4Fe,Alloy,cubic,14.945039357011208,151.09,40.03,5.642,771.0,0.0,0.5029
mp-927169,Zr3Te4Ru2Mo3,Silicate,tetragonal,27.765449028644813,86.33,17.88,4.078,1265.0,5.9,-2.5826
mp-865672,OsFe3,Oxide,hexagonal,36.73112321858804,212.74,126.98,1.388,1125.0,7.483,-2.1643
mp-743049,Sb4Ga2,Oxide,tetragonal,39.44091078345636,210.35,50.69,1.927,2613.0,4.618,-3.6763
mp-161705,Sn4Ne2,Semiconductor,monoclinic,22.561906995519838,116.25,64.26,3.401,1707.0,1.233,-0.8991
mp-377276,Mo4Ru,Alloy,trigonal,25.32822794280427,210.2,110.38,8.81,933.0,0.0,-0.4625
mp-879428,Ni4,Ceramic,hexagonal,35.88599076264624,48.4,18.83,3.392,2599.0,5.477,-4.5413
mp-789126,Nb3Au3Pd3,Phosphide,cubic,9.468003450289201,23.32,6.94,2.513,1260.0,0.049,0.3343
mp-558458,Na4Br3,Intermetallic,cubic,24.835389243585155,135.01,72.25,4.61,2331.0,0.0,-0.7172
mp-701347,Hf2,Nitride,cubic,35.26373661669456,340.29,185.94,5.33,1062.0,2.559,-0.2794
mp-696659,Sn3Pb2In,Metal,cubic,24.748168875327114,83.56,50.06,8.008,2135.0,0.0,-1.4802
mp-130705,VIn,Sulfide,monoclinic,16.39803073616772,53.1,22.56,4.814,820.0,2.338,-0.7839
mp-963464,Re4Rh2Se3,Oxide,hexagonal,39.8924394625641,124.28,80.15,4.939,2496.0,5.65,-3.5769
mp-323393,Ru4K4Ce,Nitride,hexagonal,34.24662747789906,322.54,291.69,3.101,200.0,0.332,-1.0347
mp-683196,Ca4Ba4,Sulfide,cubic,23.62284109100918,149.36,68.09,3.5,1346.0,0.339,-1.7795
mp-79200,P3Te3,Metal,cubic,27.195122728598463,194.91,111.49,9.03,1307.0,0.0,-0.7532
mp-277634,K2,Silicate,cubic,30.006663781583544,134.61,57.41,0.5,808.0,5.917,-3.4824
mp-167807,Pb4Ca4,Alloy,monoclinic,33.8923537890163,193.34,115.07,4.248,2535.0,0.0,-2.3817
mp-497304,V4Na2,Oxide,orthorhombic,29.803568225464844,153.32,62.44,2.518,2788.0,1.079,-1.7833
mp-789107,Na2GeSr4,Oxide,cubic,43.30588683152389,291.19,143.61,3.521,1776.0,8.542,-1.2733
mp-106919,KS2,Alloy,cubic,11.106757892380806,61.39,34.21,0.5,1405.0,0.0,0.5646
mp-807343,F3NaC,Sulfide,monoclinic,15.90351520016622,60.13,22.69,2.372,617.0,1.628,-1.6814
mp-120425,Zr2Ni4,Intermetallic,orthorhombic,21.06373158361868,163.23,135.89,5.751,508.0,0.0,-0.2792
mp-279678,In4MoRu2Li4,Oxide,tetragonal,41.43610578493587,121.3,70.96,5.975,2278.0,2.401,-6.1828
mp-754900,Ba3W2,Metal,hexagonal,22.10451715472903,144.88,91.53,7.366,1650.0,0.0,0.3667
mp-908421,Ni2Pb4,Metal,monoclinic,17.09604349513332,78.22,34.22,11.164,999.0,0.0,-0.0049
mp-698277,Co,Intermetallic,hexagonal,19.15313746082886,135.72,37.44,8.577,1284.0,0.0,0.0
mp-349353,P3F2,Semiconductor,orthorhombic,17.447651692427833,134.44,70.49,6.955,348.0,1.983,0.4359
mp-553096,Sr2,Metal,cubic,25.608660869622277,143.67,77.61,9.23,2222.0,0.0,0.0
mp-538909,Co3Mn4,Ceramic,hexagonal,32.2126455874917,137.8,63.34,4.81,2515.0,4.543,-1.1888
mp-771615,Pd3Zr2,Perovskite,hexagonal,26.42487131969747,67.87,23.88,7.105,1245.0,1.553,-3.7675
mp-635553,Cu,Perovskite,tetragonal,29.76142691166395,57.09,29.61,4.529,1145.0,0.994,-6.1318
mp-916276,NaH,Metal,triclinic,22.132057339185994,190.6,81.15,7.151,1370.0,0.0,0.3169
mp-138622,Cl2In4,Oxide,tetragonal,42.95049818876099,240.1,203.47,2.762,1773.0,2.137,-4.0633
mp-545028,Re4Au,Alloy,monoclinic,20.956028527439884,130.68,70.85,6.851,1944.0,0.0,0.5819
mp-798378,Ti4Au2Mn,Carbide,hexagonal,40.59763846897315,467.93,163.26,5.75,1585.0,0.78,-0.9374
mp-468572,As4Se2Nb3,Metal,cubic,23.703144795197815,135.85,55.92,5.881,1310.0,0.0,-1.9775
mp-273592,H2Ne4Ni2,Metal,hexagonal,29.564420542409167,207.13,116.69,9.849,1213.0,0.0,-1.4006
mp-84601,Pd2Mg4V2,Oxide,hexagonal,46.73127650947757,287.85,170.25,5.723,2749.0,5.077,-1.8434
mp-59322,Li4ZrRu3,Oxide,monoclinic,41.57067269440318,166.95,101.51,4.097,1656.0,6.083,-4.5357
mp-849191,Cu2BrN3,Alloy,hexagonal,18.013054450815616,26.62,15.96,9.1,2312.0,0.0,0.2251
mp-810615,Ti4Ge,Metal,hexagonal,32.48919513986082,226.04,156.09,3.375,2343.0,0.0,-1.0284
mp-579702,Ta4Os,Sulfide,tetragonal,14.549874933633957,67.88,31.66,4.05,200.0,0.399,-1.7927
