material_id,formula,n_elements,crystal_system,spacegroup_number,category,formation_energy_per_atom_eV,energy_above_hull_eV,band_gap_eV,is_metal,bulk_modulus_GPa,shear_modulus_GPa,poisson_ratio,density_g_cm3,nsites,volume_A3,melting_point_K,is_stable,crystal_enc,category_enc,pughs_ratio,elastic_anisotropy,thermal_stability,electronic_density,vol_per_site,bulk_modulus_GPa_norm,shear_modulus_GPa_norm,formation_energy_per_atom_eV_norm,density_g_cm3_norm,melting_point_K_norm,band_gap_eV_norm,MQI
mp-596805,W3B2Ge3,3,monoclinic,6,Perovskite,-1.9961,0.0102,4.085,0,102.77,18.01,0.4141,7.637,4,346.54,1140.0,1,2,10,5.706274288891573,84.75999999999999,571.113668798589,31.197145,86.635,18.44928597583303,4.32644791460763,43.70125,37.539448769198394,25.627044711014175,34.041666666666664,25.999648361660096
mp-966921,V4,1,orthorhombic,43,Metal,0.0,0.1089,0.0,1,124.6,122.39,0.1358,8.002,8,788.72,2875.0,0,3,7,1.0180570307199888,2.2099999999999937,287500000000.0,0.0,98.59,22.44599047967777,30.117118007511362,18.75,39.45928887018725,72.92802617230099,0.0,29.147754510301702
mp-564486,Ge2Ti3Pt2Zn,4,monoclinic,3,Intermetallic,-1.3666,0.1113,0.0,1,160.57,94.03,0.2301,4.391,6,356.65,1316.0,0,2,6,1.7076464956176065,66.53999999999999,962.9737965536822,0.0,59.44166666666666,29.031490296594654,23.109804309152004,35.832499999999996,20.46602146013044,30.425299890948747,0.0,24.20515605080469
mp-496575,ReCd2Sn4,3,hexagonal,191,Semiconductor,-0.9346,0.0333,1.297,0,31.42,20.97,0.2221,4.099,8,378.7,1119.0,1,1,12,1.4983309482602143,10.450000000000003,1197.3036465086277,5.316403,47.3375,5.38630538264372,5.057817750543585,30.43249999999999,18.930149379339365,25.05452562704471,10.808333333333332,15.447768408628102
mp-783153,Sc,1,hexagonal,179,Oxide,-4.0565,0.0265,5.427,0,268.21,118.09,0.2976,3.717,12,394.96,2482.0,1,1,9,2.2712338045328786,150.11999999999998,611.8575111257056,20.172159,32.913333333333334,48.73855730501647,29.054655070171968,69.45625,16.920892068167472,62.213740458015266,45.225,47.257792750556725
mp-175768,He2Ti3Ag3,3,cubic,225,Nitride,-1.7608,0.1262,4.36,0,316.81,112.15,0.3451,8.536,8,1067.15,766.0,0,0,8,2.824877396092298,204.66,435.0295295602594,37.21696,133.39375,57.63639692420358,27.58697371021941,40.76,42.268041237113394,15.430752453653218,36.333333333333336,37.188091118643925
mp-781199,Sb3Os3,2,monoclinic,12,Intermetallic,-1.9517,0.1383,0.0,1,101.07,46.28,0.2913,10.238,12,1979.03,1642.0,0,2,6,2.183880725543673,54.78999999999999,841.3178211747819,0.0,164.91916666666665,18.13804467228121,11.311524016604071,43.146249999999995,51.22028192720387,39.31297709923664,0.0,25.53813849538294
mp-645823,Co3,1,cubic,217,Oxide,-3.4022,0.0129,5.499,0,133.92,79.46,0.2564,4.737,4,172.22,2198.0,1,0,9,1.6853762897451074,54.459999999999994,646.0525523306902,26.048762999999997,43.055,24.152325155620645,19.50978454239968,61.2775,22.28592467915001,54.471101417666304,45.824999999999996,38.260929620169016
mp-473959,W3Cu,2,orthorhombic,53,Halide,-3.2928,0.0297,5.038,0,101.52,58.4,0.2775,4.433,6,442.63,1260.0,1,3,5,1.7383561640858978,43.12,382.65306006239956,22.333454,73.77166666666666,18.220432076162577,14.306186993476972,59.910000000000004,20.686934567641487,28.898582333696837,41.983333333333334,31.188304620746585
mp-789178,Pb4Si3Nb2,3,monoclinic,11,Boride,-1.6892,0.0339,1.37,0,319.86,116.4,0.3484,2.962,4,158.77,1083.0,1,2,1,2.74793814409382,203.46,641.1318929603842,4.05794,39.6925,58.194800439399486,28.637082427357186,39.864999999999995,12.949715968861772,24.073064340239913,11.416666666666668,31.957807821273498
mp-75452,K3Mo2,2,tetragonal,100,Metal,-0.3719,0.0399,0.0,1,185.56,53.74,0.3617,9.341,32,3952.47,1427.0,1,4,7,3.452921473120037,131.82,3837.0528680545076,0.0,123.5146875,33.60673745880629,13.154773670685907,23.398750000000007,46.502209131075105,33.45147219193021,0.0,23.699993967795486
mp-796644,CSi2,2,monoclinic,6,Metal,-0.377,0.2404,0.0,1,48.42,24.97,0.282,6.837,4,490.9,576.0,0,2,7,1.9391269515662288,23.450000000000003,1527.8514183593788,0.0,122.725,8.498718418161845,6.046155366673255,23.46249999999999,33.33158005470229,10.25081788440567,0.0,12.4722554450981
mp-46003,Re3Pd2,2,orthorhombic,43,Oxide,-2.2257,0.0058,8.345,0,283.79,176.58,0.2511,4.854,16,844.41,1892.0,1,3,9,1.6071469021629206,107.21000000000001,850.0696371924805,40.50663,52.775625,51.590992310508966,43.50662186202807,46.57125,22.901325478645067,46.12868047982552,69.54166666666667,47.97445745434574
mp-217584,Ni3Ca4Pd4V4,4,orthorhombic,33,Metal,-1.1193,0.0611,0.0,1,157.99,73.4,0.3092,7.689,12,461.46,3254.0,0,3,7,2.152452315783045,84.59,2907.1741007131773,0.0,38.455,28.559135847674845,18.012453053963235,32.741249999999994,37.812960235640645,83.26063249727372,0.0,32.13295867848274
mp-825627,Cu4Nb4,2,cubic,212,Silicate,-1.5803,0.0698,6.012,0,78.31,37.1,0.2868,4.088,4,200.93,1389.0,0,0,13,2.110781670590086,41.21,878.9470298111306,24.577056,50.2325,13.971072867081654,9.04328918758648,38.503750000000004,18.872291184515046,32.415485278080695,50.1,26.568174321097235
mp-290375,Ar2Al4,2,orthorhombic,61,Oxide,-4.9327,0.0257,2.839,0,170.14,79.73,0.299,2.092,6,151.2,1980.0,1,3,9,2.1339520880303584,90.40999999999998,401.402881988763,5.939188000000001,25.2,30.783595752471616,19.576497331488437,80.40875,8.373658741847255,48.527808069792805,23.658333333333335,37.819055701445656
mp-44817,Pt3Be3,2,orthorhombic,73,Ceramic,-3.3041,0.0045,2.116,0,187.95,117.07,0.2562,6.749,8,378.25,2200.0,1,3,3,1.6054497307930768,70.88,665.839409624892,14.280884,47.28125,34.044306114976195,28.8026289780589,60.05125,32.86871449610772,54.52562704471101,17.633333333333333,38.69035252492445
mp-185195,Au3As,2,hexagonal,183,Carbide,0.5009,0.01,4.085,0,189.53,79.4,0.3084,6.889,4,411.33,1741.0,1,1,2,2.387027707507931,110.13,3475.7435920194926,28.141565,102.8325,34.333577444159644,19.49495947815774,12.48875000000001,33.605091521144544,42.01199563794983,34.041666666666664,28.032015882270404
mp-175122,C2Be,2,trigonal,143,Metal,-0.0652,0.0008,0.0,1,297.25,226.16,0.2133,10.989,4,759.38,1668.0,1,6,7,1.3143349840239504,71.09,25582.818162144456,0.0,189.845,54.055291102160375,55.75706661395532,19.564999999999998,55.1704186829371,40.021810250817886,0.0,37.39578494913953
mp-773953,B4V3,2,cubic,230,Carbide,0.3173,0.0775,1.622,0,340.09,133.29,0.3174,5.643,12,920.06,1840.0,0,0,2,2.55150423868621,206.79999999999998,5798.928276113196,9.152946,76.67166666666667,61.89857195166605,32.810338011464715,14.783749999999998,27.05133599831685,44.711014176663035,13.51666666666667,33.3378177189573
mp-648457,F2Mn4,2,cubic,214,Semiconductor,-1.1681,0.0312,1.447,0,66.69,28.33,0.3095,4.134,12,551.78,1535.0,1,0,12,2.354041651128118,38.36,1314.0998089709803,5.981898000000001,45.98166666666666,11.843647015745146,6.876358964222177,33.35124999999999,19.11424363559857,36.3958560523446,12.058333333333334,19.593803967405012
mp-274536,K3CuH3,3,hexagonal,185,Chalcogenide,-0.2996,0.0374,2.328,0,56.31,30.62,0.2874,2.989,12,430.74,2181.0,1,1,4,1.8389941208886367,25.69,7279.706032052536,6.958391999999999,35.895,9.943244232881728,7.442182249456414,22.495000000000005,13.091731537976015,54.007633587786266,19.4,20.29640348843317
mp-491007,CdCo3Sr3F3,4,tetragonal,94,Semiconductor,-2.4122,0.0108,0.499,0,109.2,51.96,0.2989,0.5,12,49.1,1152.0,1,4,12,2.1016166277710515,57.24,477.5723386221195,0.2495,4.091666666666667,19.626510435737824,12.714963431508203,48.9025,0.0,25.954198473282442,4.158333333333333,20.765674544441573
mp-200754,ClSe4,2,tetragonal,114,Chalcogenide,-0.6608,0.0929,0.559,0,80.66,51.23,0.2589,3.214,8,334.04,799.0,0,4,4,1.5744680847990498,29.43,1209.140417537221,1.796626,41.755,14.401318198462098,12.534591816564536,27.010000000000005,14.275194613928043,16.330425299890948,4.658333333333334,15.365015259381774
mp-675888,Cr2Ce2,2,cubic,207,Oxide,-2.7372,0.0308,0.837,0,135.46,92.15,0.2243,5.362,24,1929.88,2571.0,1,0,9,1.4699945739045042,43.31,939.2810136662246,4.487994,80.41166666666668,24.434273160014648,22.64528562957106,52.965,25.573322112350095,64.6401308615049,6.975,33.308513598377886
mp-82807,Be4Li3,2,tetragonal,123,Oxide,-3.4336,0.0227,4.84,0,186.42,87.95,0.2951,4.822,8,410.2,2635.0,1,4,9,2.11961341647304,98.46999999999998,767.4161207845523,23.33848,51.275,33.76418894177956,21.607531132634907,61.67,22.733010730065224,66.38495092693566,40.33333333333333,41.68938772692976
mp-601207,Ag4Zn4N3,3,cubic,195,Ceramic,-3.023,0.0025,5.192,0,251.3,115.23,0.2975,5.116,8,507.04,2360.0,1,0,3,2.180855679755198,136.07,780.6814396934124,26.562272,63.38,45.64262175027463,28.347993674639255,56.5375,24.27940248264254,58.88767720828789,43.26666666666667,43.85671491449022
mp-543598,Si2Zn2Rh,3,orthorhombic,37,Ceramic,-4.7446,0.005,1.507,0,139.15,45.32,0.3423,0.5,16,84.88,2800.0,1,3,3,3.0703883488370725,93.83000000000001,590.1445841796051,0.7535,5.305,25.109849871841817,11.07432298873295,78.0575,0.0,70.88331515812432,12.558333333333332,35.364581845833605
mp-589622,FZr2Au4,3,cubic,210,Semiconductor,-0.6381,0.1431,2.805,0,50.68,12.61,0.3891,5.106,4,253.69,1800.0,0,0,12,4.019032510690696,38.07,2820.8744268786327,14.322330000000001,63.4225,8.912486268766019,2.9921921328325753,26.726249999999993,24.22680412371134,43.62050163576881,23.375,20.198191338056176
mp-641518,Se,1,orthorhombic,45,Metal,0.0,0.2088,0.0,1,72.04,32.5,0.3007,5.725,16,1069.93,1144.0,0,3,7,2.216615383933349,39.540000000000006,114400000000.0,0.0,66.870625,12.823141706334676,7.906700929037358,18.75,27.4826425415527,25.7360959651036,0.0,14.504647175995217
mp-365899,As3Cd4,2,hexagonal,183,Metal,-0.549,0.0104,0.0,1,212.64,71.52,0.3447,2.972,6,230.28,760.0,1,1,7,2.973154362000398,141.12,1384.3351296113817,0.0,38.38,38.56462834126693,17.547934374382287,25.61250000000001,13.002314327792972,15.267175572519085,0.0,19.93532031178701
mp-506996,C3La2Ni2,3,monoclinic,14,Metal,-1.4408,0.0499,0.0,1,108.78,57.95,0.2637,6.296,2,166.41,1403.0,1,2,7,1.8771354612809084,50.83,973.7645684774808,0.0,83.205,19.54961552544855,14.194999011662384,36.760000000000005,30.486008836524302,32.79716466739367,0.0,22.069098491183667
mp-33784,Li4AsNb4,3,tetragonal,107,Sulfide,0.2433,0.0035,3.758,0,113.68,71.39,0.2314,3.249,6,250.9,1516.0,1,4,14,1.592379884914921,42.290000000000006,6230.99029054705,12.209742,41.81666666666667,20.446722812156718,17.515813401858075,15.708750000000009,14.459288870187251,35.87786259541985,31.316666666666666,22.25936551913466
mp-450135,RhSr2,2,orthorhombic,21,Intermetallic,-1.589,0.1304,0.0,1,225.11,91.18,0.3306,8.163,4,403.39,904.0,0,3,6,2.4688528183298035,133.93,568.9112613661972,0.0,100.8475,40.84767484437934,22.40561375765962,38.612500000000004,40.30612244897959,19.19302071973828,0.0,27.282723073266496
mp-505741,Ag,1,cubic,218,Alloy,0.0,0.064,0.0,1,129.72,54.37,0.3176,3.334,6,200.81,2152.0,0,0,0,2.3858745627394016,75.35,215200000000.0,0.0,33.468333333333334,23.383376052727936,13.310436845226329,18.75,14.906374921102461,53.217011995637954,0.0,20.56195187104679
mp-606955,Mo3Al4Sn2Ir,4,hexagonal,183,Halide,-1.9492,0.0179,4.189,0,117.36,57.33,0.3093,3.343,8,403.36,212.0,1,1,5,2.047095761024403,60.03,108.76256870119758,14.003827,50.42,21.120468692786524,14.041806681162283,43.115,14.953713444140543,0.3271537622682661,34.90833333333334,22.43614948354406
mp-71948,Ba2S2Sr4,3,trigonal,152,Boride,-1.322,0.0678,1.282,0,419.74,218.99,0.2831,2.14,8,277.35,1453.0,0,6,1,1.9167085254159226,200.75,1099.0922761036893,2.7434800000000004,34.66875,76.48114243866715,53.9854714370429,35.275000000000006,8.626130864717021,34.160305343511446,10.683333333333334,40.737481663140436
mp-893408,Ar4Ga2Fe,3,cubic,217,Perovskite,-2.5349,0.0222,1.479,0,85.24,46.25,0.26,3.316,2,57.43,1251.0,1,0,10,1.8430270266285345,38.989999999999995,493.51059018694787,4.904364,28.715,15.239838886854628,11.304111484483098,50.43625,14.811697875026297,28.653217011995636,12.325000000000001,23.023942413569518
mp-610415,Ba3V3,2,hexagonal,173,Semiconductor,0.6161,0.2385,1.626,0,80.25,34.71,0.3039,1.998,4,128.7,1058.0,0,1,12,2.3120138282016667,45.54,1717.2536647094032,3.248748,32.175,14.326254119370194,8.452757461949002,11.048749999999998,7.879234167893961,23.391494002181027,13.549999999999999,13.094699833380389
mp-687019,MgK3Cu2,3,tetragonal,99,Metal,-1.735,0.0449,0.0,1,153.74,53.96,0.3445,10.664,16,2146.83,1692.0,1,4,7,2.8491475161510107,99.78,975.216132707688,0.0,134.176875,27.781032588795313,13.209132239573037,40.43750000000001,53.46097201767305,40.67611777535441,0.0,27.733047833744145
mp-435841,NTi4,2,tetragonal,86,Semiconductor,0.8096,0.0131,1.609,0,87.11,33.26,0.3182,1.212,16,180.21,978.0,1,4,12,2.619061935472321,53.85,1208.0039376481727,1.950108,11.263125,15.582204320761624,8.094485076101995,8.63000000000001,3.7450031559015358,21.210468920392582,13.408333333333333,12.028658533021767
mp-97463,MgHf2,2,tetragonal,100,Oxide,-3.6708,0.041,4.564,0,121.77,61.43,0.2734,5.634,24,1336.85,2674.0,1,4,9,1.982256226276696,60.339999999999996,728.4515617073893,25.713576000000003,55.70208333333333,21.92786525082387,15.054852737695196,64.63499999999999,27.003997475278773,67.44820065430753,38.03333333333334,38.84617344337782
mp-95559,Mn2Ne2,2,cubic,208,Semiconductor,-2.9778,0.0058,2.254,0,80.61,26.69,0.3429,4.049,32,1336.39,1307.0,1,0,12,3.020232295608755,53.92,438.9146334914547,9.126446000000001,41.7621875,14.392164042475283,6.471140541609014,55.9725,18.66715758468336,30.179934569247546,18.78333333333333,24.578366860672325
mp-650808,Ne4Ru4,2,tetragonal,130,Sulfide,-1.3538,0.3468,1.953,0,84.14,17.79,0.4025,3.955,8,457.88,793.0,0,4,14,4.729623381264967,66.35,585.758601080229,7.724115,57.235,15.038447455144635,4.272089345720498,35.6725,18.172733010730067,16.166848418756814,16.275000000000002,17.680157924059557
